,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
197,Maruti Ignis 1.2 Zeta,2017-11-01,Comprehensive,Petrol,5,52690,Second Owner,Manual,20.89,1197.0,8180.0,4.2
198,Hyundai Creta SX Opt,2022-08-01,Comprehensive,Petrol,5,11900,First Owner,Automatic,14.0,1497.0,11318.0,18.25
199,Hyundai i20 Sportz,2017-05-01,Comprehensive,Petrol,5,53747,First Owner,Manual,18.6,1197.0,8183.0,5.77
200,BMW X3 xDrive 20d Luxury,2019-01-01,Zero Dep,Diesel,5,32321,First Owner,Automatic,16.55,1995.0,1877.0,49.9
201,Honda Brio S,2015-05-01,Comprehensive,Petrol,5,55485,First Owner,Manual,19.4,1198.0,868.0,3.35
202,Land Rover Range Rover Velar P250 R-Dynamic,2018-11-01,Third Party insurance,Petrol,5,54000,Second Owner,Automatic,15.8,1997.0,247.0,59.75
203,Maruti Baleno 1.2,2017-09-01,Comprehensive,Petrol,5,49404,First Owner,Manual,21.4,1197.0,831.0,5.44
204,MG Gloster Savvy,2021-05-01,Comprehensive,Diesel,6,35000,First Owner,Automatic,12.4,1996.0,21501.0,36.0
205,Hyundai Grand i10,2014-12-01,Comprehensive,Petrol,5,67264,Second Owner,Manual,1197.0,82.0,114.0,3.27
206,Mercedes-Benz V-Class 2019-2022,2019-03-01,Zero Dep,Diesel,6,17000,First Owner,Automatic,16.0,1950.0,16092.0,65.0
207,Maruti Wagon R LXI,2013-08-01,Comprehensive,CNG,5,77584,Second Owner,Manual,26.6,998.0,5816.0,2.8
208,Mercedes-Benz S-Class Maybach,2016-09-01,Comprehensive,Petrol,4,50000,First Owner,Automatic,7.81,4663.0,459.0,98.5
209,Maruti Swift LXI,2013-10-01,Comprehensive,Petrol,5,71977,Second Owner,Manual,1197.0,8180.0,113.0,2.94
210,Maruti Ignis 1.2 Zeta,2017-11-01,Comprehensive,Petrol,5,52690,Second Owner,Manual,20.89,1197.0,8180.0,4.2
211,Hyundai Creta SX Opt,2022-08-01,Comprehensive,Petrol,5,11900,First Owner,Automatic,14.0,1497.0,11318.0,18.25
212,Hyundai i20 Sportz,2017-05-01,Comprehensive,Petrol,5,53747,First Owner,Manual,18.6,1197.0,8183.0,5.77
213,BMW X3 xDrive 20d Luxury,2019-01-01,Zero Dep,Diesel,5,32321,First Owner,Automatic,16.55,1995.0,1877.0,49.9
214,Honda Brio S,2015-05-01,Comprehensive,Petrol,5,55485,First Owner,Manual,19.4,1198.0,868.0,3.35
215,Land Rover Range Rover Velar P250 R-Dynamic,2018-11-01,Third Party insurance,Petrol,5,54000,Second Owner,Automatic,15.8,1997.0,247.0,59.75
216,Maruti Baleno 1.2,2017-09-01,Comprehensive,Petrol,5,49404,First Owner,Manual,21.4,1197.0,831.0,5.44
217,Mahindra Scorpio N Z8L AT,2022-04-01,Comprehensive,Petrol,7,8000,First Owner,Automatic,1997.0,200.0,380.0,24.0
218,Maruti Wagon R VXi,2014-10-01,Comprehensive,Petrol,5,33841,First Owner,Manual,998.0,671.0,90.0,3.17
219,Volkswagen Virtus Topline,2023-05-01,Comprehensive,Petrol,5,9246,First Owner,Manual,19.4,999.0,11398.0,15.62
220,Toyota Innova Crysta 2.7 ZX AT,2018-02-01,Comprehensive,Petrol,7,42000,First Owner,Automatic,10.75,2694.0,1637.0,17.9
221,Tata Tiago 1.05 Revotorq,2018-08-01,Comprehensive,Diesel,5,42462,First Owner,Manual,27.28,1047.0,69.0,4.3
222,Mahindra Alturas G4 4X4,2021-01-01,Third Party insurance,Diesel,7,30000,First Owner,Automatic,12.05,2157.0,17849.0,24.75
223,Hyundai i20,2012-11-01,Comprehensive,Petrol,5,96660,First Owner,Manual,18.5,1197.0,8285.0,2.47
224,Hyundai Grand i10,2014-09-01,Comprehensive,Petrol,5,38963,First Owner,Manual,18.9,1197.0,82.0,4.13
225,Hyundai Grand i10 1.2 Kappa Sportz,2017-11-01,Comprehensive,Petrol,5,63249,First Owner,Manual,18.9,1197.0,8186.0,4.59
226,Maruti Ertiga ZXI,2016-08-01,Comprehensive,Petrol,7,82000,First Owner,Manual,19.01,1462.0,10326.0,7.49
227,Maruti Ciaz 1.4,2019-11-01,Comprehensive,Petrol,5,38000,First Owner,Manual,20.73,1373.0,911.0,6.75
228,Kia Carnival,2020-11-01,Third Party insurance,Diesel,7,40500,First Owner,Automatic,14.11,2199.0,19726.0,25.25
229,Kia Sonet GTX Plus Diesel,2020-10-01,Zero Dep,Diesel,5,40000,First Owner,Manual,1493.0,9863.0,240.0,11.55
230,Hyundai i10,2015-08-01,Comprehensive,Petrol,5,65170,Second Owner,Manual,20.36,1197.0,789.0,3.02
231,Honda WR-V i-VTEC,2018-02-01,Comprehensive,Petrol,5,50000,First Owner,Manual,17.5,1199.0,887.0,7.25
232,Renault KWID 1.0 RXL,2020-11-01,Comprehensive,Petrol,5,34838,First Owner,Manual,999.0,6706.0,91.0,3.88
233,Hyundai i20 Asta Opt Turbo DCT,2021-06-01,Comprehensive,Petrol,5,30466,First Owner,Automatic,20.28,998.0,11841.0,10.5
234,Mercedes-Benz E-Class Exclusive E,2020-11-01,Comprehensive,Diesel,5,32000,Second Owner,Automatic,16.1,1950.0,1917.0,44.5
235,Volvo S90 D4 Momentum,2018-07-01,Third Party insurance,Diesel,5,50000,First Owner,Automatic,18.0,1969.0,190.0,33.0
236,Maruti Swift Dzire,2014-10-01,Comprehensive,Petrol,5,48946,First Owner,Manual,19.1,1197.0,858.0,4.11
237,BMW X3 xDrive20d,2017-03-01,Comprehensive,Diesel,5,43498,Second Owner,Automatic,18.56,1995.0,190.0,29.9
238,Mahindra Thar LX 4-Str Convert Top AT,2022-02-01,Comprehensive,Petrol,4,8744,First Owner,Automatic,15.2,1997.0,150.0,16.01
239,Land Rover Discovery Sport Petrol HSE,2017-11-01,Comprehensive,Petrol,7,72000,First Owner,Automatic,12.81,1997.0,23736.0,32.5
240,Hyundai i20 Sportz,2017-05-01,Comprehensive,Petrol,5,71361,First Owner,Manual,18.6,1197.0,8183.0,5.52
241,BMW X1 sDrive 20d,2017-07-01,Comprehensive,Diesel,5,60500,First Owner,Automatic,20.68,1995.0,188.0,19.95
242,Ford Ecosport 1.5 Diesel,2018-10-01,Comprehensive,Diesel,5,64000,First Owner,Manual,21.7,1498.0,9896.0,7.99
243,Mercedes-Benz B Class B180,2013-11-01,Comprehensive,Petrol,5,26000,Second Owner,Automatic,11.9,1595.0,1207.0,12.45
244,Ford Ecosport 1.5 Petrol Titanium,2016-11-01,Comprehensive,Petrol,5,60000,First Owner,Automatic,14.7,1496.0,12069.0,6.49
245,Kia Sonet GTX Plus Diesel,2020-10-01,Zero Dep,Diesel,5,40000,First Owner,Manual,1493.0,9863.0,240.0,11.55
246,Hyundai i10,2015-08-01,Comprehensive,Petrol,5,65170,Second Owner,Manual,20.36,1197.0,789.0,3.02
247,Honda WR-V i-VTEC,2018-02-01,Comprehensive,Petrol,5,50000,First Owner,Manual,17.5,1199.0,887.0,7.25
248,Renault KWID 1.0 RXL,2020-11-01,Comprehensive,Petrol,5,34838,First Owner,Manual,999.0,6706.0,91.0,3.88
249,Land Rover Discovery Sport Petrol HSE,2018-10-01,Comprehensive,Petrol,7,72000,Second Owner,Automatic,12.81,1997.0,23736.0,49.5
250,Hyundai i20 Asta Opt Turbo DCT,2021-06-01,Comprehensive,Petrol,5,30466,First Owner,Automatic,20.28,998.0,11841.0,10.5
251,Mercedes-Benz E-Class Exclusive E,2020-11-01,Comprehensive,Diesel,5,32000,Second Owner,Automatic,16.1,1950.0,1917.0,44.5
252,Volvo S90 D4 Momentum,2018-07-01,Third Party insurance,Diesel,5,50000,First Owner,Automatic,18.0,1969.0,190.0,33.0
253,Maruti Swift Dzire,2014-10-01,Comprehensive,Petrol,5,48946,First Owner,Manual,19.1,1197.0,858.0,4.11
254,BMW X3 xDrive20d,2017-03-01,Comprehensive,Diesel,5,43498,Second Owner,Automatic,18.56,1995.0,190.0,29.9
255,Mahindra Thar LX 4-Str Convert Top AT,2022-02-01,Comprehensive,Petrol,4,8744,First Owner,Automatic,15.2,1997.0,150.0,16.01
256,Land Rover Discovery Sport Petrol HSE,2017-11-01,Comprehensive,Petrol,7,72000,First Owner,Automatic,12.81,1997.0,23736.0,32.5
257,Hyundai i20 Sportz,2017-05-01,Comprehensive,Petrol,5,71361,First Owner,Manual,18.6,1197.0,8183.0,5.52
258,BMW X1 sDrive 20d,2017-07-01,Comprehensive,Diesel,5,60500,First Owner,Automatic,20.68,1995.0,188.0,19.95
259,Ford Ecosport 1.5 Diesel,2018-10-01,Comprehensive,Diesel,5,64000,First Owner,Manual,21.7,1498.0,9896.0,7.99
260,Mercedes-Benz B Class B180,2013-11-01,Comprehensive,Petrol,5,26000,Second Owner,Automatic,11.9,1595.0,1207.0,12.45
261,Ford Ecosport 1.5 Petrol Titanium,2016-11-01,Comprehensive,Petrol,5,60000,First Owner,Automatic,14.7,1496.0,12069.0,6.49
262,Audi Q2 Premium Plus,2021-01-01,Comprehensive,Petrol,5,28000,First Owner,Automatic,1984.0,18774.0,320.0,26.5
263,Maruti Swift Dzire 1.2 Vxi,2011-03-01,Comprehensive,Petrol,5,89002,First Owner,Manual,17.5,1197.0,858.0,2.37
264,Maruti Baleno 1.2,2018-09-01,Comprehensive,Petrol,5,36937,First Owner,Manual,21.4,1197.0,831.0,6.4
265,Toyota Innova Crysta 2.4 VX,2019-04-01,Third Party insurance,Diesel,7,42000,First Owner,Manual,13.68,2393.0,14751.0,18.75
266,BMW 5 Series 520d Luxury,2019-07-01,Comprehensive,Diesel,5,55000,First Owner,Automatic,20.37,1995.0,18774.0,41.5
267,Maruti Baleno,2019-05-01,Comprehensive,Petrol,5,70391,Second Owner,Manual,21.01,1197.0,8180.0,5.12
268,Hyundai Elantra,2014-01-01,Third Party insurance,Petrol,5,56000,First Owner,Manual,16.3,1797.0,1475.0,4.95
269,Hyundai Grand i10,2016-08-01,Comprehensive,Petrol,5,52190,First Owner,Manual,18.9,1197.0,82.0,4.31
270,Audi A3 35 TDI Premium,2018-10-01,Comprehensive,Diesel,5,72000,First Owner,Automatic,20.38,1968.0,143.0,20.0
271,Maruti Wagon R VXi,2013-09-01,Comprehensive,Petrol,5,48173,First Owner,Manual,998.0,671.0,90.0,2.88
272,Mercedes-Benz CLA Urban Sport,2019-12-01,Third Party insurance,Diesel,5,44132,Second Owner,Automatic,17.9,2143.0,1341.0,26.9
273,Ford Endeavour Titanium Plus 4X4,2020-12-01,Comprehensive,Diesel,7,49000,First Owner,Automatic,12.4,1996.0,16762.0,33.5
274,Audi Q2 Premium Plus,2021-01-01,Comprehensive,Petrol,5,28000,First Owner,Automatic,1984.0,18774.0,320.0,26.5
275,Maruti Swift Dzire 1.2 Vxi,2011-03-01,Comprehensive,Petrol,5,89002,First Owner,Manual,17.5,1197.0,858.0,2.37
276,Hyundai Venue SX,2019-07-01,Comprehensive,Petrol,5,28194,First Owner,Manual,18.27,998.0,11835.0,9.03
277,BMW 5 Series 530i M,2019-08-01,Comprehensive,Petrol,5,34500,First Owner,Automatic,15.01,1998.0,24808.0,52.0
278,Mercedes-Benz E-Class Exclusive E 220 d,2019-09-01,Zero Dep,Diesel,5,50605,Second Owner,Automatic,16.1,1950.0,1917.0,39.9
279,Maruti Baleno 1.2,2018-09-01,Comprehensive,Petrol,5,36937,First Owner,Manual,21.4,1197.0,831.0,6.4
280,Toyota Innova Crysta 2.4 VX,2019-04-01,Third Party insurance,Diesel,7,42000,First Owner,Manual,13.68,2393.0,14751.0,18.75
281,BMW 5 Series 520d Luxury,2019-07-01,Comprehensive,Diesel,5,55000,First Owner,Automatic,20.37,1995.0,18774.0,41.5
282,Maruti Baleno,2019-05-01,Comprehensive,Petrol,5,70391,Second Owner,Manual,21.01,1197.0,8180.0,5.12
283,Hyundai Elantra,2014-01-01,Third Party insurance,Petrol,5,56000,First Owner,Manual,16.3,1797.0,1475.0,4.95
284,Hyundai Grand i10,2016-08-01,Comprehensive,Petrol,5,52190,First Owner,Manual,18.9,1197.0,82.0,4.31
285,Audi A3 35 TDI Premium,2018-10-01,Comprehensive,Diesel,5,72000,First Owner,Automatic,20.38,1968.0,143.0,20.0
286,Maruti Wagon R VXi,2013-09-01,Comprehensive,Petrol,5,48173,First Owner,Manual,998.0,671.0,90.0,2.88
287,Mercedes-Benz CLA Urban Sport,2019-12-01,Third Party insurance,Diesel,5,44132,Second Owner,Automatic,17.9,2143.0,1341.0,26.9
288,Ford Endeavour Titanium Plus 4X4,2020-12-01,Comprehensive,Diesel,7,49000,First Owner,Automatic,12.4,1996.0,16762.0,33.5
289,Audi Q7 3.0 TDI Quattro,2017-05-01,Comprehensive,Diesel,7,70000,Second Owner,Automatic,12.07,2967.0,2414.0,40.0
290,Hyundai Creta 1.6 Gamma SX,2015-10-01,Comprehensive,Petrol,5,49341,First Owner,Manual,15.29,1591.0,1213.0,8.42
291,Isuzu MU-X,2018-10-01,Comprehensive,Diesel,7,55000,First Owner,Automatic,13.8,2999.0,175.0,18.95
292,Hyundai Creta 1.4,2019-06-01,Comprehensive,Diesel,5,55861,First Owner,Manual,22.1,1396.0,887.0,10.27
293,Land Rover Discovery HSE 3.0,2018-07-01,Third Party insurance,Petrol,7,76000,Second Owner,Automatic,9.17,2995.0,33525.0,49.5
294,Toyota Innova Crysta 2.4 G,2018-07-01,Comprehensive,Diesel,7,68000,First Owner,Manual,13.68,2393.0,14751.0,14.25
295,Honda Amaze VX,2014-05-01,Comprehensive,Petrol,5,52565,First Owner,Manual,17.8,1198.0,867.0,4.17
296,Volvo S90 D4,2018-11-01,Comprehensive,Diesel,5,72000,First Owner,Automatic,18.0,1969.0,190.0,29.55
297,Audi Q7 45 TDI Quattro,2017-08-01,Comprehensive,Diesel,7,70000,Second Owner,Automatic,14.75,2967.0,245.0,40.0
298,Hyundai Grand i10 1.2 Kappa Sportz,2019-07-01,Comprehensive,Petrol,5,73074,First Owner,Manual,18.9,1197.0,8186.0,4.93
299,Tata Harrier,2019-06-01,Third Party insurance,Diesel,5,45000,First Owner,Manual,16.35,1956.0,16767.0,13.75
300,Hyundai Grand i10,2014-06-01,Comprehensive,Petrol,5,90995,First Owner,Manual,1197.0,82.0,114.0,3.35
301,Maruti Wagon R LXI BS,2014-03-01,Third Party,Petrol,5,42346,Second Owner,Manual,20.51,998.0,6704.0,3.01
302,Honda City i-VTEC CVT,2020-08-01,Comprehensive,Petrol,5,31120,First Owner,Automatic,18.0,1497.0,1176.0,11.5
303,Hyundai Grand i10 Magna,2015-10-01,Comprehensive,CNG,5,64000,First Owner,Manual,1197.0,82.0,114.0,4.25
304,Audi Q7 3.0 TDI Quattro,2017-05-01,Comprehensive,Diesel,7,70000,Second Owner,Automatic,12.07,2967.0,2414.0,40.0
305,Hyundai Creta 1.6 Gamma SX,2015-10-01,Comprehensive,Petrol,5,49341,First Owner,Manual,15.29,1591.0,1213.0,8.42
306,Isuzu MU-X,2018-10-01,Comprehensive,Diesel,7,55000,First Owner,Automatic,13.8,2999.0,175.0,18.95
307,Hyundai Creta 1.4,2019-06-01,Comprehensive,Diesel,5,55861,First Owner,Manual,22.1,1396.0,887.0,10.27
308,Land Rover Discovery HSE 3.0,2018-07-01,Third Party insurance,Petrol,7,76000,Second Owner,Automatic,9.17,2995.0,33525.0,49.5
309,Toyota Innova Crysta 2.4 G,2018-07-01,Comprehensive,Diesel,7,68000,First Owner,Manual,13.68,2393.0,14751.0,14.25
310,Honda Amaze VX,2014-05-01,Comprehensive,Petrol,5,52565,First Owner,Manual,17.8,1198.0,867.0,4.17
311,Volvo S90 D4,2018-11-01,Comprehensive,Diesel,5,72000,First Owner,Automatic,18.0,1969.0,190.0,29.55
312,Audi Q7 45 TDI Quattro,2017-08-01,Comprehensive,Diesel,7,70000,Second Owner,Automatic,14.75,2967.0,245.0,40.0
313,Hyundai Grand i10 1.2 Kappa Sportz,2019-07-01,Comprehensive,Petrol,5,73074,First Owner,Manual,18.9,1197.0,8186.0,4.93
314,Tata Harrier,2019-06-01,Third Party insurance,Diesel,5,45000,First Owner,Manual,16.35,1956.0,16767.0,13.75
315,Hyundai Grand i10,2014-06-01,Comprehensive,Petrol,5,90995,First Owner,Manual,1197.0,82.0,114.0,3.35
316,Maruti Wagon R LXI BS,2014-03-01,Third Party,Petrol,5,42346,Second Owner,Manual,20.51,998.0,6704.0,3.01
317,Honda City i-VTEC CVT,2020-08-01,Comprehensive,Petrol,5,31120,First Owner,Automatic,18.0,1497.0,1176.0,11.5
318,Hyundai Grand i10 Magna,2015-10-01,Comprehensive,CNG,5,64000,First Owner,Manual,1197.0,82.0,114.0,4.25
319,BMW 7 Series 740Li M,2022-10-01,Comprehensive,Petrol,4,4000,First Owner,Automatic,11.86,2998.0,33525.0,1.25
320,Maruti A-Star,2011-05-01,Comprehensive,Petrol,5,48936,Second Owner,Manual,19.0,998.0,661.0,2.34
321,Mitsubishi Outlander 2.4,2019-03-01,Comprehensive,Petrol,7,23000,Second Owner,Automatic,10.2,2360.0,16494.0,19.5
322,Maruti Baleno 1.2,2017-09-01,Comprehensive,Petrol,5,61814,First Owner,Manual,21.4,1197.0,831.0,5.27
323,BMW X5 xDrive 30d,2019-01-01,Zero Dep,Diesel,5,62000,Second Owner,Automatic,13.38,2993.0,26150.0,47.98
324,Hyundai Venue SX,2020-12-01,Comprehensive,Petrol,5,30200,First Owner,Manual,18.27,998.0,11835.0,9.25
325,Skoda Superb LK 1.8 TSI,2020-08-01,Third Party insurance,Petrol,5,34123,First Owner,Automatic,14.67,1798.0,17746.0,30.5
326,Mercedes-Benz AMG GLC 43 4MATIC,2022-05-01,Comprehensive,Petrol,5,16000,First Owner,Automatic,2996.0,38487.0,520.0,83.0
327,Maruti Vitara Brezza ZDi Plus Dual,2018-10-01,Comprehensive,Diesel,5,28645,First Owner,Manual,24.3,1248.0,885.0,7.71
328,Audi A4 35 TDI,2015-03-01,Comprehensive,Diesel,5,48933,Second Owner,Automatic,17.11,1968.0,17433.0,15.75
329,Hyundai Creta 1.6 VTVT AT SX,2016-05-01,Comprehensive,Petrol,5,60970,First Owner,Automatic,13.0,1591.0,1213.0,9.4
330,Toyota Fortuner 2.8 4WD,2018-03-01,Third Party insurance,Diesel,7,56000,First Owner,Manual,14.24,2755.0,1745.0,27.5
331,Hyundai Grand i10 1.2 Kappa,2018-07-01,Comprehensive,Petrol,5,40427,First Owner,Manual,18.9,1197.0,8186.0,5.36
332,Maruti Ciaz 1.4,2019-09-01,Third Party insurance,Petrol,5,54213,First Owner,Manual,20.73,1373.0,911.0,7.9
333,Toyota Corolla Altis,2011-05-01,Third Party insurance,Petrol,5,85000,Second Owner,Manual,14.53,1798.0,1381.0,2.75
334,Toyota Innova Crysta 2.4 G MT 8,2016-10-01,Comprehensive,Diesel,8,91000,Second Owner,Manual,13.68,2393.0,14751.0,12.0
335,Hyundai Grand i10,2016-10-01,Third Party insurance,Petrol,5,47000,First Owner,Manual,18.9,1197.0,82.0,3.85
336,Honda City i VTEC CVT,2015-09-01,Comprehensive,Petrol,5,54630,First Owner,Automatic,18.0,1497.0,1173.0,6.86
337,Audi Q7 45 TDI Quattro,2015-03-01,Comprehensive,Diesel,7,72222,Second Owner,Automatic,14.75,2967.0,245.0,34.9
338,Honda City i-VTEC CVT,2019-03-01,Comprehensive,Petrol,5,41116,First Owner,Automatic,18.0,1497.0,1176.0,10.39
339,Land Rover Range Rover Sport 2.0 Petrol,2019-02-01,Zero Dep,Petrol,5,4000,First Owner,Automatic,12.65,1997.0,29636.0,1.1
340,Jaguar XJ 2.0L,2017-08-01,Comprehensive,Petrol,5,20000,First Owner,Automatic,9.43,1999.0,2374.0,69.0
341,Tata Altroz XZ Plus,2021-01-01,Comprehensive,Petrol,5,29502,First Owner,Manual,19.33,1199.0,8683.0,7.56
342,BMW X5 xDrive 30d M,2014-01-01,Comprehensive,Diesel,5,132501,First Owner,Automatic,15.97,2993.0,258.0,12.21
343,Mercedes-Benz E-Class E250 CDI,2017-05-01,Comprehensive,Diesel,5,35000,First Owner,Automatic,13.0,2143.0,204.0,23.9
344,Honda WR-V i-DTEC,2017-10-01,Comprehensive,Diesel,5,56458,Second Owner,Manual,25.5,1498.0,986.0,5.71
345,Maruti Ciaz 1.4 AT,2018-09-01,Comprehensive,Petrol,5,50000,First Owner,Automatic,19.12,1373.0,911.0,7.25
346,Maruti Baleno 1.2,2018-08-01,Comprehensive,Petrol,5,61657,First Owner,Manual,21.4,1197.0,831.0,5.93
347,Maruti Ciaz 1.4,2017-10-01,Third Party insurance,Petrol,5,67000,First Owner,Manual,20.73,1373.0,911.0,6.25
348,Hyundai i20 Sportz,2016-01-01,Comprehensive,Petrol,5,104948,First Owner,Manual,18.6,1197.0,8183.0,4.61
349,Jaguar XJ 2.0L,2017-09-01,Comprehensive,Petrol,5,20000,First Owner,Automatic,9.43,1999.0,2374.0,52.0
350,Mercedes-Benz M-Class ML 350,2014-03-01,Comprehensive,Diesel,5,154000,Second Owner,Automatic,11.74,2987.0,2548.0,17.5
351,Toyota Camry 2.5,2016-09-01,Comprehensive,Petrol,5,46000,First Owner,Automatic,19.16,2494.0,1577.0,20.5
352,Honda City i VTEC,2015-06-01,Comprehensive,Petrol,5,90000,First Owner,Manual,1497.0,1173.0,145.0,5.65
353,Hyundai Grand i10,2016-10-01,Third Party insurance,Petrol,5,47000,First Owner,Manual,18.9,1197.0,82.0,3.85
354,Honda City i VTEC CVT,2015-09-01,Comprehensive,Petrol,5,54630,First Owner,Automatic,18.0,1497.0,1173.0,6.86
355,Audi Q7 45 TDI Quattro,2015-03-01,Comprehensive,Diesel,7,72222,Second Owner,Automatic,14.75,2967.0,245.0,34.9
356,Honda City i-VTEC CVT,2019-03-01,Comprehensive,Petrol,5,41116,First Owner,Automatic,18.0,1497.0,1176.0,10.39
357,Land Rover Range Rover Sport 2.0 Petrol,2019-02-01,Zero Dep,Petrol,5,4000,First Owner,Automatic,12.65,1997.0,29636.0,1.1
358,Jaguar XJ 2.0L,2017-08-01,Comprehensive,Petrol,5,20000,First Owner,Automatic,9.43,1999.0,2374.0,69.0
359,Tata Altroz XZ Plus,2021-01-01,Comprehensive,Petrol,5,29502,First Owner,Manual,19.33,1199.0,8683.0,7.56
360,BMW X5 xDrive 30d M,2014-01-01,Comprehensive,Diesel,5,132501,First Owner,Automatic,15.97,2993.0,258.0,12.21
361,Mercedes-Benz E-Class E250 CDI,2017-05-01,Comprehensive,Diesel,5,35000,First Owner,Automatic,13.0,2143.0,204.0,23.9
362,Honda WR-V i-DTEC,2017-10-01,Comprehensive,Diesel,5,56458,Second Owner,Manual,25.5,1498.0,986.0,5.71
363,Maruti Ciaz 1.4 AT,2018-09-01,Comprehensive,Petrol,5,50000,First Owner,Automatic,19.12,1373.0,911.0,7.25
364,Maruti Baleno 1.2,2018-08-01,Comprehensive,Petrol,5,61657,First Owner,Manual,21.4,1197.0,831.0,5.93
365,Maruti Ciaz 1.4,2017-10-01,Third Party insurance,Petrol,5,67000,First Owner,Manual,20.73,1373.0,911.0,6.25
366,Hyundai i20 Sportz,2016-01-01,Comprehensive,Petrol,5,104948,First Owner,Manual,18.6,1197.0,8183.0,4.61
367,Jaguar XJ 2.0L,2017-09-01,Comprehensive,Petrol,5,20000,First Owner,Automatic,9.43,1999.0,2374.0,52.0
368,Mercedes-Benz M-Class ML 350,2014-03-01,Comprehensive,Diesel,5,154000,Second Owner,Automatic,11.74,2987.0,2548.0,17.5
369,Toyota Camry 2.5,2016-09-01,Comprehensive,Petrol,5,46000,First Owner,Automatic,19.16,2494.0,1577.0,20.5
370,Honda City i VTEC,2015-06-01,Comprehensive,Petrol,5,90000,First Owner,Manual,1497.0,1173.0,145.0,5.65
371,Audi A3 35 TDI Premium,2020-01-01,Comprehensive,Diesel,5,39000,Second Owner,Automatic,20.38,1968.0,143.0,22.5
372,Hyundai Creta 1.6 VTVT AT SX,2017-08-01,Comprehensive,Petrol,5,64727,First Owner,Automatic,13.0,1591.0,1213.0,9.87
373,Hyundai i20 Active 1.4,2018-09-01,Third Party insurance,Diesel,5,65000,First Owner,Manual,21.19,1396.0,8873.0,6.5
374,Honda Brio S,2013-02-01,Third Party,Petrol,5,44636,Second Owner,Manual,19.4,1198.0,868.0,2.63
375,Toyota Fortuner 4x2,2015-08-01,Comprehensive,Diesel,7,100000,Second Owner,Automatic,12.55,2982.0,1685.0,15.5
376,Mercedes-Benz C-Class Progressive C,2021-08-01,Zero Dep,Diesel,5,23616,First Owner,Automatic,12.6,1950.0,194.0,43.9
377,Hyundai Xcent 1.2 Kappa,2014-09-01,Comprehensive,Petrol,5,107682,First Owner,Manual,19.1,1197.0,82.0,3.39
378,Mercedes-Benz AMG GLA 35,2022-08-01,Third Party,Petrol,5,9500,First Owner,Automatic,1991.0,30173.0,400.0,56.5
379,Land Rover Discovery Sport Petrol HSE,2019-06-01,Comprehensive,Petrol,7,47500,First Owner,Automatic,12.81,1997.0,23736.0,43.0
380,Volkswagen Polo Petrol Highline,2011-08-01,Comprehensive,Petrol,5,101914,Second Owner,Manual,16.47,1198.0,739.0,2.59
381,Hyundai Grand i10 Nios Magna,2023-04-01,Comprehensive,Petrol,5,620,First Owner,Manual,1197.0,8180.0,1138.0,6.65
382,Maruti Baleno,2019-03-01,Comprehensive,Petrol,5,45507,First Owner,Manual,21.01,1197.0,8180.0,6.49
383,Audi A8 L 3.0 TDI,2015-07-01,Comprehensive,Diesel,4,58000,First Owner,Automatic,16.77,2967.0,24674.0,29.75
384,Mercedes-Benz S-Class S 350d,2022-10-01,Comprehensive,Diesel,5,7000,First Owner,Automatic,2925.0,28161.0,600.0,1.55
385,Ford Ecosport 1.5 Ti VCT AT,2015-03-01,Comprehensive,Petrol,5,74095,Second Owner,Automatic,16.5,1499.0,110.0,5.37
386,BMW X3 xDrive30i M,2022-02-01,Zero Dep,Petrol,5,8450,First Owner,Automatic,19.0,5.0,,71.9
387,Mercedes-Benz S-Class Maybach,2018-07-01,Comprehensive,Petrol,4,40000,First Owner,Automatic,7.81,4663.0,459.0,1.09
388,Maruti Alto 800 LXi,2010-10-01,Comprehensive,Petrol,5,77684,Second Owner,Manual,796.0,463.0,62.0,1.54
389,Audi Q5 Technology,2021-01-01,Third Party insurance,Petrol,5,22900,First Owner,Automatic,13.47,1984.0,24559.0,54.8
390,Mercedes-Benz GLS 400d,2022-12-01,Comprehensive,Diesel,7,19000,Second Owner,Automatic,2925.0,3258640000000.0,700.0,1.15
391,Hyundai Grand i10,2014-06-01,Comprehensive,Petrol,5,74846,Second Owner,Manual,18.9,1197.0,82.0,3.1
392,Toyota Glanza,2022-11-01,Comprehensive,Petrol,5,4500,First Owner,Manual,22.35,1197.0,8850.0,7.55
393,Hyundai i20,2012-02-01,Comprehensive,Petrol,5,97722,Third Owner,Manual,18.5,1197.0,805200.0,2.27
394,Jeep Wrangler,2023-02-01,Third Party insurance,Petrol,5,9000,First Owner,Automatic,12.1,1998.0,26530.0,70.0
395,Mercedes-Benz AMG GLE 53,2020-02-01,Third Party,Petrol,5,19000,First Owner,Automatic,8.9,2999.0,435.0,78.99
396,Honda City i VTEC CVT,2015-11-01,Comprehensive,Petrol,5,79683,First Owner,Automatic,18.0,1497.0,1173.0,6.35
397,Maruti Swift Dzire VXI,2022-07-01,Comprehensive,Petrol,5,26000,First Owner,Automatic,22.61,1197.0,8850.0,7.95
398,BMW X1 sDrive 20d,2016-07-01,Third Party insurance,Diesel,5,70000,Second Owner,Automatic,20.68,1995.0,188.0,15.5
