,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
45,Hyundai Creta SX Turbo,2020-08-01,Comprehensive,Petrol,5,36346,First Owner,Automatic,16.8,1353.0,13808.0,15.22
46,Jaguar XE 2.0L Diesel,2018-07-01,Comprehensive,Diesel,5,48000,First Owner,Automatic,13.5,1999.0,177.0,26.95
47,Hyundai i20 Sportz Plus,2019-11-01,Comprehensive,Petrol,5,42098,First Owner,Manual,18.6,1197.0,8186.0,6.7
48,BMW X1 sDrive 20d,2019-10-01,Comprehensive,Diesel,5,64000,First Owner,Automatic,20.68,1995.0,188.0,25.5
49,Maruti Swift ZXI Plus DT AMT,2022-12-01,Comprehensive,Petrol,5,13158,First Owner,Automatic,22.56,1197.0,8850.0,8.38
50,Hyundai Creta 1.6 SX Automatic,2018-06-01,Third Party insurance,Diesel,5,65400,First Owner,Automatic,17.6,1582.0,1262.0,10.9
51,Tata Tiago XZ Plus CNG,2022-08-01,Comprehensive,CNG,5,30000,First Owner,Manual,26.49,1199.0,72.0,7.25
52,Honda Jazz 1.5 E i,2017-06-01,Comprehensive,Diesel,5,62000,First Owner,Manual,1498.0,986.0,200.0,4.75
53,Volkswagen Beetle,2010-05-01,Comprehensive,Petrol,4,40000,First Owner,Automatic,10.98,1984.0,1144.0,11.95
54,Honda City ZX,2023-03-01,Comprehensive,Petrol,5,10280,First Owner,Automatic,18.4,1498.0,11935.0,16.0
55,Maruti Baleno 1.2,2015-11-01,Comprehensive,Petrol,5,17282,First Owner,Manual,21.4,1197.0,831.0,5.45
56,Honda CR-V 2.0,2019-08-01,Third Party insurance,Petrol,5,30500,First Owner,Automatic,14.4,1997.0,15189.0,22.95
57,Kia Seltos HTX Plus,2020-09-01,Comprehensive,Diesel,5,60755,First Owner,Manual,20.8,1493.0,11343.0,13.51
58,Mercedes-Benz C-Class Progressive C,2021-07-01,Comprehensive,Petrol,5,25000,Second Owner,Automatic,11.9,1950.0,20115.0,40.75
59,Mahindra Scorpio,2018-08-01,Comprehensive,Diesel,7,47000,First Owner,Manual,15.4,2179.0,13678.0,14.5
60,Kia Seltos GTX,2020-06-01,Comprehensive,Petrol,5,59316,First Owner,Automatic,16.2,1353.0,138.0,13.99
61,Toyota Yaris J,2021-04-01,Comprehensive,Petrol,5,48000,Third Owner,Manual,17.1,1496.0,1055.0,6.95
62,BMW 5 Series 530i M Sport,2023-11-01,Zero Dep,Petrol,5,20000,First Owner,Automatic,14.82,1998.0,24808.0,65.0
